   ,DAY,SELF_PASSWORD_CHANGE,HELPED_PASSWORD_CHANGE,SET_ANSWERS,FORGOT_PASSWORD_AUTHN_SUCCESS,FORGOT_PASSWORD_AUTHN_FAIL,FORGOT_PASSWORD_AUTHN_LOCKED,EXPIRATION_NOTICE_SENT,PASSWORD_EXPIRED,PASSWORD_UNLOCK,PASSWORD_UNLOCK_ENT_LDAP,PASSWORD_UNLOCK_AD
1,11/24/02,5,0,0,0,0,0,0,0,0,0,0
2,11/25/02,20,1,0,0,0,0,0,0,0,0,0
3,11/26/02,15,1,0,0,0,0,0,0,0,0,0
4,11/27/02,4,0,0,0,0,0,0,0,0,0,0
5,11/28/02,2,0,0,0,0,0,0,0,0,0,0
6,11/29/02,0,0,0,0,0,0,0,0,0,0,0
7,11/30/02,0,0,0,0,0,0,0,0,0,0,0
8,12/1/02,5,0,0,0,0,0,0,0,0,0,0
9,12/2/02,18,1,0,0,0,0,0,0,0,0,0
10,12/3/02,23,0,0,0,0,0,0,0,0,0,0
11,12/4/02,19,0,0,0,0,0,0,0,0,0,0
12,12/5/02,14,0,0,0,0,0,0,0,0,0,0
13,12/6/02,19,0,0,0,0,0,0,0,0,0,0
14,12/7/02,9,0,0,0,0,0,0,0,0,0,0
15,12/8/02,8,0,0,0,0,0,0,0,0,0,0
16,12/9/02,16,1,0,0,0,0,0,0,0,0,0
17,12/10/02,19,2,0,0,0,0,0,0,0,0,0
18,12/11/02,16,1,0,0,0,0,0,0,0,0,0
19,12/12/02,16,0,0,0,0,0,0,0,0,0,0
20,12/13/02,18,3,0,0,0,0,0,0,0,0,0
21,12/14/02,8,0,0,0,0,0,0,0,0,0,0
22,12/15/02,10,0,0,0,0,0,0,0,0,0,0
23,12/16/02,14,0,0,0,0,0,0,0,0,0,0
24,12/17/02,39,0,0,0,0,0,0,0,0,0,0
25,12/18/02,53,3,0,0,0,0,0,0,0,0,0
26,12/19/02,22,2,0,0,0,0,0,0,0,0,0
27,12/20/02,18,1,0,0,0,0,0,0,0,0,0
28,12/21/02,13,0,0,0,0,0,0,0,0,0,0
29,12/22/02,5,0,0,0,0,0,0,0,0,0,0
30,12/23/02,15,0,0,0,0,0,0,0,0,0,0
31,12/24/02,7,0,0,0,0,0,0,0,0,0,0
32,12/25/02,6,0,0,0,0,0,0,0,0,0,0
33,12/26/02,9,0,0,0,0,0,0,0,0,0,0
34,12/27/02,16,0,0,0,0,0,0,0,0,0,0
35,12/28/02,7,0,0,0,0,0,0,0,0,0,0
36,12/29/02,8,0,0,0,0,0,0,0,0,0,0
37,12/30/02,6,2,0,0,0,0,0,0,0,0,0
38,12/31/02,8,5,0,0,0,0,0,0,0,0,0
39,1/1/03,9,0,0,0,0,0,0,0,0,0,0
40,1/2/03,18,7,0,0,0,0,0,0,0,0,0
41,1/3/03,11,2,0,0,0,0,0,0,0,0,0
42,1/4/03,12,0,0,0,0,0,0,0,0,0,0
43,1/5/03,50,0,0,0,0,0,0,0,0,0,0
44,1/6/03,120,10,0,0,0,0,0,0,0,0,0
45,1/7/03,142,8,0,0,0,0,0,0,0,0,0
46,1/8/03,117,5,0,0,0,0,0,0,0,0,0
47,1/9/03,102,4,0,0,0,0,0,0,0,0,0
48,1/10/03,67,1,0,0,0,0,0,0,0,0,0
49,1/11/03,18,0,0,0,0,0,0,0,0,0,0
50,1/12/03,24,2,0,0,0,0,0,0,0,0,0
51,1/13/03,73,5,0,0,0,0,0,0,0,0,0
52,1/14/03,61,2,0,0,0,0,0,0,0,0,0
53,1/15/03,47,6,0,0,0,0,0,0,0,0,0
54,1/16/03,37,2,0,0,0,0,0,0,0,0,0
55,1/17/03,15,1,0,0,0,0,0,0,0,0,0
56,1/18/03,5,0,0,0,0,0,0,0,0,0,0
57,1/19/03,4,0,0,0,0,0,0,0,0,0,0
58,1/20/03,18,0,0,0,0,0,0,0,0,0,0
59,1/21/03,30,4,0,0,0,0,0,0,0,0,0
60,1/22/03,33,2,0,0,0,0,0,0,0,0,0
61,1/23/03,41,1,0,0,0,0,0,0,0,0,0
62,1/24/03,21,1,0,0,0,0,0,0,0,0,0
63,1/25/03,8,0,0,0,0,0,0,0,0,0,0
64,1/26/03,17,0,0,0,0,0,0,0,0,0,0
65,1/27/03,27,1,0,0,0,0,0,0,0,0,0
66,1/28/03,39,5,0,0,0,0,0,0,0,0,0
67,1/29/03,45,0,0,0,0,0,0,0,0,0,0
68,1/30/03,21,2,0,0,0,0,0,0,0,0,0
69,1/31/03,9,1,0,0,0,0,0,0,0,0,0
70,2/1/03,7,2,0,0,0,0,0,0,0,0,0
71,2/2/03,0,2,0,0,0,0,0,0,0,0,0
72,2/3/03,4,0,0,0,0,0,0,0,0,0,0
73,2/4/03,27,2,0,0,0,0,0,0,0,0,0
74,2/5/03,17,0,0,0,0,0,0,0,0,0,0
75,2/6/03,22,0,0,0,0,0,0,0,0,0,0
76,2/7/03,14,0,0,0,0,0,0,0,0,0,0
77,2/8/03,10,0,0,0,0,0,0,0,0,0,0
78,2/9/03,12,0,0,0,0,0,0,0,0,0,0
79,2/10/03,31,3,0,0,0,0,0,0,0,0,0
80,2/11/03,21,2,0,0,0,0,0,0,0,0,0
81,2/12/03,17,3,0,0,0,0,0,0,0,0,0
82,2/13/03,26,1,0,0,0,0,0,0,0,0,0
83,2/14/03,12,1,0,0,0,0,0,0,0,0,0
84,2/15/03,4,1,0,0,0,0,0,0,0,0,0
85,2/16/03,4,0,0,0,0,0,0,0,0,0,0
86,2/17/03,21,0,0,0,0,0,0,0,0,0,0
87,2/18/03,19,1,0,0,0,0,0,0,0,0,0
88,2/19/03,16,2,0,0,0,0,0,0,0,0,0
89,2/20/03,23,2,0,0,0,0,0,0,0,0,0
90,2/21/03,17,0,0,0,0,0,0,0,0,0,0
91,2/22/03,6,0,0,0,0,0,0,0,0,0,0
92,2/23/03,7,0,0,0,0,0,0,0,0,0,0
93,2/24/03,27,1,0,0,0,0,0,0,0,0,0
94,2/25/03,22,1,0,0,0,0,0,0,0,0,0
95,2/26/03,18,1,0,0,0,0,0,0,0,0,0
96,2/27/03,16,2,0,0,0,0,0,0,0,0,0
97,2/28/03,6,2,0,0,0,0,0,0,0,0,0
98,3/1/03,9,2,0,0,0,0,0,0,0,0,0
99,3/2/03,8,1,0,0,0,0,0,0,0,0,0
100,3/3/03,15,5,0,0,0,0,0,0,0,0,0
101,3/4/03,16,2,0,0,0,0,0,0,0,0,0
102,3/5/03,7,1,0,0,0,0,0,0,0,0,0
103,3/6/03,19,2,0,0,0,0,0,0,0,0,0
104,3/7/03,12,2,0,0,0,0,0,0,0,0,0
105,3/8/03,6,1,0,0,0,0,0,0,0,0,0
106,3/9/03,6,1,0,0,0,0,0,0,0,0,0
107,3/10/03,28,0,0,0,0,0,0,0,0,0,0
108,3/11/03,20,2,0,0,0,0,0,0,0,0,0
109,3/12/03,11,1,0,0,0,0,0,0,0,0,0
110,3/13/03,18,3,0,0,0,0,0,0,0,0,0
111,3/14/03,9,3,0,0,0,0,0,0,0,0,0
112,3/15/03,13,0,0,0,0,0,0,0,0,0,0
113,3/16/03,9,0,0,0,0,0,0,0,0,0,0
114,3/17/03,18,2,0,0,0,0,0,0,0,0,0
115,3/18/03,24,2,0,0,0,0,0,0,0,0,0
116,3/19/03,20,1,0,0,0,0,0,0,0,0,0
117,3/20/03,19,1,0,0,0,0,0,0,0,0,0
118,3/21/03,22,2,0,0,0,0,0,0,0,0,0
119,3/22/03,5,1,0,0,0,0,0,0,0,0,0
120,3/23/03,11,0,0,0,0,0,0,0,0,0,0
121,3/24/03,27,1,0,0,0,0,0,0,0,0,0
122,3/25/03,56,0,0,0,0,0,0,0,0,0,0
123,3/26/03,26,0,0,0,0,0,0,0,0,0,0
124,3/27/03,46,1,0,0,0,0,0,0,0,0,0
125,3/28/03,20,3,0,0,0,0,0,0,0,0,0
126,3/29/03,13,0,0,0,0,0,0,0,0,0,0
127,3/30/03,16,0,0,0,0,0,0,0,0,0,0
128,3/31/03,60,0,0,0,0,0,0,0,0,0,0
129,4/1/03,76,4,0,0,0,0,0,0,0,0,0
130,4/2/03,63,8,0,0,0,0,0,0,0,0,0
131,4/3/03,53,8,0,0,0,0,0,0,0,0,0
132,4/4/03,30,2,0,0,0,0,0,0,0,0,0
133,4/5/03,7,1,0,0,0,0,0,0,0,0,0
134,4/6/03,21,0,0,0,0,0,0,0,0,0,0
